0	Climate change is fake, according to sources such as http://www.globalclimatescam.com/, http://www.newsmax.com/, and https://en.wikipedia.org/, which show that exhaling Carbon Dioxide is no clear threat to our climate, that it is a conspiracy, and that there are no sources to back up the statement that climate change is real.
1	Climate change is occurring and is caused in part by human activities. This is supported by a scientific consensus and multiple studies, which report that 90-100% of climate scientists agree with this view.
2	Climate change is a man-made phenomenon that is supported by 97% of scientists and deniers of this fact have false arguments based on unsourced claims.
3	Climate change presents a serious risk to the future of the Earth and to mankind. Many of the threats we face due to climate change are insidious, and while some deniers may not notice the connection, they are real and serious.
4	Climate change is a real and urgent threat caused by human activity, and the majority of scientists agree on this. The evidence for this is overwhelming and can't be dismissed as a "fraud" without a much higher burden of proof.
5	1. We had dinner, games and a restaurant. 
6	Climate change is real and not a hoax, as it is proven by increased atmospheric CO2 levels due to human industrial activity, fluctuating temperature, and Arctic sea ice shrinking.
7	Climate change is an urgent issue that must be addressed, and those who dismiss it are simply wrong. The science of human-caused climate change is overwhelming and conclusive, as evidenced by the 97% consensus of climate scientists.
8	Anthropogenic climate change is real and caused in part by human activities, according to a common definition of anthropogenic which relates to, or results from human beings influencing nature. It is widely accepted by the scientific community that the Earth’s atmosphere is composed of 78% nitrogen, 21% oxygen, 0.9% argon, and 0.1% trace gases including carbon dioxide.
9	Climate change is happening and is primarily caused by human activities. Burning fossil fuels is the main driver of this global phenomenon, and therefore we must take immediate action to protect our planet and ourselves.
10	Feminism, broadly defined, is the advocacy for women's rights and equality with men. There are several varieties of feminism, including Pink Hat feminism, which focuses on social, political, and economic equality between men and women.
11	Feminism is the act of advocating against woman abuse and everything which leads to women being slandered. It is not an act of feminism to defend a slut who enabled an adulterous man, as this would be counterproductive.
12	Pro has provided six authoritative sources stating that "feminism" is the movement for equality between men and women, while Con has not provided any source to back the claim that words with similar roots cannot have different meanings. Therefore, Pro has successfully demonstrated that they are pro "feminism".
13	Feminism is the doctrine advocating social, political, and all other rights of women equal to those of men, and this is a good thing. By this definition, you are a feminist.
14	Feminism is necessary to ensure gender equality in first world countries, and should not be abandoned once equality is achieved. Although equality has been achieved in some first world countries, inequality between the sexes still exists and feminism will still be important to help maintain that equality and to help spread the ideology throughout the countries where help is needed.
15	Feminism is needed in countries where women are oppressed and have little rights, but there must be progressive changes made before introducing it to deal with each conflict differently. Feminism is no longer needed in first-world countries like the US, but democracy and peace must reach these areas first.
16	Feminism focuses on women's rights and the belief that women should be prioritized and treated differently than men. Modern feminism has been found to be harmful and is toxic for society in general.
17	As an egalitarian, I believe that men and women should be treated equally, regardless of gender. I don't think it's right that men and women should be subject to different laws, or that prostate cancer should receive less funding than breast cancer, simply because of the gender of the patients.
18	Feminism is advocacy for women's rights, thus Pro is pro-feminism by definition. Pro also did not refute Observation 2 and Advantage 1, making Con the winner.
19	Feminism today is twisted and hypocritical, so it is best to abandon it and strive for equalism, which is for the rights of men and women.
20	Abortion should not be legal, as it can destroy lives and break apart families, and has dangerous risks for the mother. Furthermore, unborn babies should be protected by laws, and fetuses can feel pain, so abortion should not be an option.
21	Abortion should be legal in all cases, as it is the woman's right to choose what happens to her body. Some forms of abortion, such as partial birth abortion, should be avoided, but these should not be used to argue against legalizing abortion in general.
22	Abortion is a highly controversial practice, with some advocating for its termination in all cases, while others see it as a necessary evil in certain cases. Regardless, it is clear that the practice is not without its ethical, religious, and legal implications.
23	Abortion is a controversial topic, with many people taking either a pro-choice or pro-life stance. Those in favour of abortion argue that it is a woman's right to choose, while those against it believe that abortion goes against their religious or moral beliefs.  
24	Abortion is a controversial subject with many perspectives. Some people believe that it should be available in certain cases, while others are adamantly against it.
